,weather,pivot,candidates
0,warm,"Tripoli, Libya","Tunis, Tunisia; Marrakech, Morocco; Algiers, Algeria; Cairo, Egypt; Baghdad, Iraq; Sana'a, Yemen; Amman, Jordan; Casablanca, Morocco; Doha, Qatar; Dubai, United Arab Emirates; Muscat, Oman; Manama, Bahrain; Alexandria, Egypt; Jeddah, Saudi Arabia; Erbil, Iraq; Abu Dhabi, United Arab Emirates; Kuwait City, Kuwait; Tripoli, Lebanon; Rabat, Morocco; Mogadishu, Somalia"
1,warm,"Vientiane, Laos","Hanoi, Vietnam; Siem Reap, Cambodia; Bangkok, Thailand; Mandalay, Myanmar; Chiang Mai, Thailand; Phnom Penh, Cambodia; Luang Prabang, Laos; Kuala Lumpur, Malaysia; Yangon, Myanmar; Da Nang, Vietnam; Ho Chi Minh City, Vietnam; Kota Kinabalu, Malaysia; Ha Long, Vietnam; Phuket, Thailand; Nha Trang, Vietnam; Hue, Vietnam; Sihanoukville, Cambodia; Udon Thani, Thailand; Vang Vieng, Laos; Battambang, Cambodia"
2,warm,"Suva, Fiji","Apia, Samoa; Port Vila, Vanuatu; Honiara, Solomon Islands; Nuku'alofa, Tonga; Avarua, Cook Islands; Pago Pago, American Samoa; Funafuti, Tuvalu; Dili, East Timor; Bora Bora, French Polynesia; Apia, Samoa; Rarotonga, Cook Islands; Tarawa, Kiribati; Majuro, Marshall Islands; Kavieng, Papua New Guinea; Port Moresby, Papua New Guinea; Nadi, Fiji; Labasa, Fiji; Lautoka, Fiji; Savusavu, Fiji; Taveuni"
3,warm,"La Paz, Mexico","Cancun, Mexico; Cabo San Lucas, Mexico; Mazatlan, Mexico; San Cristobal de las Casas, Mexico; Oaxaca City, Mexico; Merida, Mexico; Guanajuato, Mexico; Puerto Vallarta, Mexico; San Juan del Sur, Nicaragua; Quito, Ecuador; Guayaquil, Ecuador; Lima, Peru; Valparaiso, Chile; Bogota, Colombia; San Jose, Costa Rica; Havana, Cuba; Panama City, Panama; Santo Domingo, Dominican Republic; San Salvador, El Salvador; Georgetown, Guyana"
4,warm,"Garissa, Kenya","Mombasa, Kenya; Lamu, Kenya; Wajir, Kenya; Kisumu, Kenya; Nairobi, Kenya; Eldoret, Kenya; Marsabit, Kenya; Isiolo, Kenya; Mogadishu, Somalia; Zanzibar, Tanzania; Mogadishu, Somalia; Kigali, Rwanda; Kampala, Uganda; Addis Ababa, Ethiopia; Dar es Salaam, Tanzania; Malindi, Kenya; Kilimanjaro, Tanzania; Djibouti City, Djibouti; Hargeisa, Somalia; Musoma, Tanzania"
5,warm,"Ho Chi Minh City, Vietnam","Hanoi, Vietnam; Bangkok, Thailand; Siem Reap, Cambodia; Singapore, Singapore; Manila, Philippines; Phuket, Thailand; Vientiane, Laos; Johor Bahru, Malaysia; Kuala Lumpur, Malaysia; Da Nang, Vietnam; Ha Long, Vietnam; Kota Kinabalu, Malaysia; Sihanoukville, Cambodia; Chiang Mai, Thailand; Langkawi, Malaysia; Da Lat, Vietnam; Kuching, Malaysia; Hpa-An, Myanmar; Ubud, Indonesia; Luang Prabang, Laos"
6,warm,"Brasília, Brazil","Quito, Ecuador; San Jose, Costa Rica; La Paz, Bolivia; Asuncion, Paraguay; Caracas, Venezuela; Bogota, Colombia; Lima, Peru; Santiago, Chile; Buenos Aires, Argentina; Managua, Nicaragua; Montevideo, Uruguay; Guatemala City, Guatemala; San Salvador, El Salvador; Panama City, Panama; Mexico City, Mexico; Kingston, Jamaica; Havana, Cuba; San Juan, Puerto Rico; Santo Domingo, Dominican Republic; Port of Spain, Trinidad and Tobago"
7,warm,"Makassar, Indonesia","Bandar Seri Begawan, Brunei ; Kota Kinabalu, Malaysia ; Phnom Penh, Cambodia ; Vientiane, Laos ; Siem Reap, Cambodia ; Ho Chi Minh City, Vietnam ; Davao City, Philippines ; Yangon, Myanmar ; Hanoi, Vietnam ; Malacca, Malaysia ; Bangkok, Thailand ; Jakarta, Indonesia ; Denpasar, Indonesia ; Singapura, Singapore ; Surabaya, Indonesia ; Manila, Philippines ; Macau, China ; Pattaya, Thailand ; Hong Kong, China ; Taipei, Taiwan"
8,warm,"Brisbane, Australia","Cairns, Australia ; Townsville, Australia ; Darwin, Australia ; Sydney, Australia ; Gold Coast, Australia ; Auckland, New Zealand ; Sunshine Coast, Australia ; San Francisco, USA ; Los Angeles, USA ; Honolulu, USA ; Melbourne, Australia ; Perth, Australia ; Yokohama, Japan ; Manila, Philippines ; San Diego, USA ; Mazatlán, Mexico ; Rio de Janeiro, Brazil ; Cape Town, South Africa ; Hobart, Australia ; Valencia, Spain"
9,warm,"Hat Yai, Thailand","Phuket, Thailand; Kota Kinabalu, Malaysia; Singapore, Singapore; Ho Chi Minh City, Vietnam; Manila, Philippines; Siem Reap, Cambodia; Yangon, Myanmar; Kuala Lumpur, Malaysia; Langkawi, Malaysia; Da Nang, Vietnam; Penang, Malaysia; Ubud, Indonesia; Malacca, Malaysia; Chiang Mai, Thailand; Sihanoukville, Cambodia; Vientiane, Laos; Surat Thani, Thailand; Hanoi, Vietnam; Bangkok, Thailand; Pattaya, Thailand"
